Nombre;Especie;Raza;Sexo;Edad_Años;Peso;Tamaño;Color_Pelaje;Apto_Con;Condicion_Especial;Desparasitado;Esterilizado;Con_Microchip;Vacunado;Adoptado;Caracter_Necesidad;Historia_Breve;Biografia_Final
LEO;Perro;Bulldog Francés;Macho;3;13;Pequeño;Atigrado Oscuro (Brindle), Pelo Corto;Hogar Sin Mascotas,Dueños Consistentes,Rutinas,Juegos;Alergias Alimentarias y Ambientales;Si;Si;Si;Si;No;Bulldog,Juguetón,Dominante (Perros),Roncador,Cabezota,Alérgico;Leo fue entregado por sus dueños por problemas de comportamiento con otro perro. Es un perro muy divertido, pero requiere manejo y control de sus alergias.;Leo es un compañero divertido, juguetón y lleno de carisma, con el carácter cabezota y cariñoso típico de su cruce. Requiere un hogar donde sea el único perro, ya que es dominante con otros congéneres. Además, padece Alergias Alimentarias y Ambientales que se controlan con una dieta específica y medicación puntual. Es ideal para dueños que busquen un perro faldero con energía y que estén dispuestos a seguir su plan de salud.
CLEO y DAMA;Gato;Europeo;Hembra;4;4;Mediano;Carey (Cleo), Negro (Dama), Pelo Corto;Adopción Conjunta Obligatoria,Casa Interior,Paciencia Inicial,Sin Otros Gatos Machos;No;Si;Si y No;Si y No;Si;No;Duo,Carey,Negra,Madre,Hija,Tímida,Juguetona,Vínculo Fuerte;Cleo y su hija Dama fueron rescatadas de un desahucio. Cleo es protectora y tímida, y Dama depende mucho de su madre, por lo que su vínculo es inquebrantable y deben ser adoptadas juntas.;Cleo y Dama son un dúo inseparable de madre e hija con personalidades complementarias: Cleo es la cariñosa pero tímida, mientras que Dama es pura energía de gata joven. Su vínculo es tan fuerte que la adopción conjunta es obligatoria. Necesitan un hogar tranquilo, preferiblemente de interior, donde se respete el espacio de Cleo y se le dé mucha diversión a Dama. Juntas, ofrecen el equilibrio perfecto entre calma y juego.
HACHIKO;Perro;Akita;Macho;9;35;Grande;Marrón, Blanco (Máscara Oscura), Pelo Semilargo;Dueños con Experiencia,Sin Niños Pequeños,Hogar Estable,Jardín Vallado;Problemas Articulares Leves;Si;Si;Si;Si;No;Akita,Leal,Testarudo,Serio,Guardián,Articular;Hachiko es un perro senior majestuoso entregado por problemas de salud de sus dueños. Es leal hasta el extremo, pero tiene el temperamento serio y reservado típico de los perros nórdicos.;Hachiko es un perro de presencia majestuosa y una lealtad inquebrantable, con el carácter serio y reservado típico de su cruce. Necesita un dueño con experiencia que respete su espacio y entienda su naturaleza independiente. Por su edad, padece Problemas Articulares Leves, por lo que se beneficia de paseos cortos y suaves y un hogar sin escaleras excesivas. Es un guardián silencioso y un compañero profundamente dedicado para la persona adecuada.
LUNA;Gato;Europeo;Hembra;2;3.5;Mediano;Negro, Pelo Corto;Casa Interior Exclusiva,Sin Niños Pequeños,Juego,Mimos Moderados;No;Si;Si;Si;Si;No;Negra,Juguetona,Curiosa,Independiente,Equilibrada,Activa;Luna apareció abandonada en una terraza en pleno invierno. Es una gata joven, muy curiosa y activa, que se lleva bien con otros gatos con una presentación gradual.;Luna es una gata joven y elegante, con una personalidad juguetona y un espíritu explorador. Adora las alturas y pasar el tiempo observando la vida exterior desde la ventana. Aunque es independiente, no desprecia una buena sesión de mimos y ronroneos al caer la tarde. Es ideal para un hogar que le proporcione juguetes de enriquecimiento y una vida de interior segura.
MAX;Perro;Dálmata;Macho;4;28;Grande;Blanco, Negro (Pecas), Pelo Corto;Ejercicio Intenso,Dueños Activos,Entrenamiento Avanzado,Juegos de Masticación;Sordera Parcial (Congénita);Si;Si;Si;Si;No;Dálmata,Enérgico,Inteligente,Sordo,Activo,Entrenable;Max fue entregado porque la familia no pudo manejar su alta energía y su sordera parcial (condición común en los dálmatas). Necesita un dueño que sepa entrenar con lenguaje de señas.;Max es un perro noble y extremadamente enérgico. Es muy inteligente y necesita un dueño activo que le proporcione mucho ejercicio físico y mental para evitar el aburrimiento. Max tiene Sordera Parcial, por lo que requiere un dueño que se comprometa a entrenarle con refuerzo positivo y lenguaje de señas. Es muy juguetón y apto para casi cualquier hogar que entienda y respete su condición.
MIAU;Gato;Europeo;Hembra;3;3.7;Mediano;Atigrado Marrón, Pelo Corto;Casa Interior,Rutina,Juegos,Paciencia;Problemas de Socialización con Desconocidos;Si;Si;Si;Si;No;Tímida,Asustadiza,Cariñosa (Conocidos),Independiente,Observadora;Miau fue una gata feral rescatada de una colonia. Aunque ha mejorado su confianza, todavía tiene miedo de los desconocidos y necesita tiempo para adaptarse.;Miau es una gata con la belleza clásica del atigrado, pero con una necesidad particular de paciencia. Su pasado en la calle le ha generado Problemas de Socialización con Desconocidos, por lo que se esconderá al principio. Sin embargo, una vez que te ganas su confianza (lo cual puede llevar varias semanas), se convierte en una compañera muy tierna, ronroneadora y que adora los mimos discretos. Necesita un hogar adulto y estable.
PEQUE;Perro;Chihuahua/Pinscher Miniatura;Hembra;8;4;Pequeño;Negro, Fuego (Tan), Pelo Corto;Mimos,Dueños Seniors,Casa Tranquila,Paseos Cortos;Problemas de Ansiedad por Separación Leves;Si;Si;Si;Si;No;Chihuahua,Pinscher,Faldera,Miedosa (Inicialmente),Ansiosa,Tranquila;Peque fue entregada tras el fallecimiento de su dueña. Está muy acostumbrada a la presencia constante y ha desarrollado una ligera Ansiedad por Separación al quedarse sola.;Peque es una perrita faldera y muy cariñosa que busca un hogar donde la compañía sea constante, idealmente con personas mayores o que trabajen desde casa. Padece Problemas de Ansiedad por Separación Leves que se gestionan bien con rutinas estables y adaptándose poco a poco a la soledad. Es una compañera de vida dedicada y leal que te seguirá a todas partes.
OREO;Gato;Europeo;Macho;5;5.5;Mediano;Blanco, Negro (Tuxedo), Pelo Corto;Casa Interior Exclusiva,Gatos Tranquilos,Juegos de Caza,Estimulación Mental;Sobrepeso (Requiere Dieta);Si;Si;Si;Si;No;Tuxedo,Comilón,Juguetón,Perezoso,Sobrepeso,Tranquilo;Oreo fue rescatado de un hogar donde era sobrealimentado y no tenía mucha actividad. Es muy mimoso y juguetón, pero debe seguir un plan de adelgazamiento.;Oreo es un gato muy mimoso, tranquilo y un experto en siestas al sol. Actualmente tiene Sobrepeso y necesita un dueño comprometido con un estricto plan de dieta y ejercicio para mejorar su salud. Es muy juguetón y disfruta de los juguetes de enriquecimiento que simulan la caza. Es un compañero de ronroneos perfecto, ideal para una familia que le dé mucho amor y controle su alimentación.
KLOY;Perro;Cocker Spaniel/Caniche;Macho;6;10;Mediano;Crema, Pelo Rizado, Hipoalergénico (potencialmente);Cepillado Diario,Peluquería Regular,Niños,Juegos de Cobro,Casa con Jardín;No;Si;Si;Si;Si;No;Cocker,Caniche,Cariñoso,Hipoalergénico,Juguetón,Activo,Afectivo;Kloy fue entregado tras el nacimiento de un bebé en la familia y la falta de tiempo para su acicalamiento. Es un perro muy dulce y familiar.;Kloy es un perro excepcionalmente cariñoso y juguetón, que adora la vida familiar y los mimos constantes. Su hermoso pelaje rizado, que puede ser ideal para personas con ciertas alergias, requiere cepillado diario y visitas frecuentes a la peluquería para evitar nudos. Es compatible con niños y otros animales, y solo pide un hogar donde el juego y el afecto sean parte de la rutina.
YODA;Gato;Esfinge (Sphynx);Macho;5;4.5;Mediano;Melocotón (Peach), Sin Pelo;Casa Interior Exclusiva,Mantas Cálidas,Baños Regulares,Mimos Constantes;Requiere Cuidados de Piel Específicos;Si;Si;Si;Si;No;Sphynx,Sin Pelo,Cariñoso,Pegajoso,Divertido,Terapéutico;Yoda es un gato Esfinge que fue rescatado de un criador que no le prestaba atención adecuada. Es increíblemente cariñoso y necesita mucho calor y contacto humano constante.;Yoda es un gato extraordinariamente cariñoso y juguetón que vive para estar cerca de su humano (idealmente, debajo de una manta). Su falta de pelaje le confiere una piel aterciopelada y le hace necesitar cuidados de piel específicos, como baños regulares y protección del frío y el sol. Es un compañero de alta demanda de mimos, ideal para alguien que trabaje desde casa y busque una mascota que le siga a todas partes.
CARLO y SARA;Perro;Beagle;Macho, Hembra;5;13;Mediano;Tricolor, Pelo Corto;Adopción Conjunta Obligatoria,Jardín Vallado,Juegos de Olfato,Dueños con Experiencia Beagle;No;Si;Si;Si;Si;No;Duo,Beagle,Olfateadores,Ladridos (Ocasionales),Inseparables,Sociables,Juguetones;Carlo y Sara han vivido juntos desde cachorros y son inseparables. Han llegado al refugio porque sus dueños se mudaron. Su vínculo es muy fuerte y su alegría es contagiosa cuando están juntos.;Carlo y Sara forman un dúo de inseparables, llenos de la curiosidad y la alegría típicas de los Beagle. Su fuerte vínculo hace que la adopción conjunta sea obligatoria. Son muy sociables, adoran olfatear el jardín y pasar tiempo con su gente, aunque la presencia de Carlo puede animar los ladridos de Sara si se aburren. Necesitan un jardín seguro y vallado, y un dueño que disfrute de sus travesuras y juegos. Juntos se dan soporte y minimizan la ansiedad.
SILAS;Gato;Europeo;Macho;14;4.2;Mediano;Blanco, Pelo Corto;Mimos,Hogar Silencioso,Casa Interior,Dueños Seniors;Insuficiencia Cardíaca Congestiva (Controlada);Si;Si;Si;Si;No;Senior,Blanco,Cariñoso,Tranquilo,Cardíaco,Baja Energía,Ronroneador;Silas es un abuelo que fue abandonado. Necesita medicación diaria y un ambiente sin estrés para su condición cardíaca. Es extremadamente dulce y faldero.;Silas es un verdadero abuelo gatuno, tranquilo y con una necesidad infinita de afecto. Lo único que pide es una siesta en el regazo. Padece Insuficiencia Cardíaca Congestiva controlada, lo que implica medicación diaria y controles veterinarios. Es esencial un hogar muy tranquilo, idealmente sin niños pequeños ni otros animales activos, para garantizar su bienestar y reducir el estrés. Su ronroneo es la mejor recompensa.
BRISA;Perro;Border Collie/Pastor;Hembra;2;20;Mediano;Negro, Blanco, Pelo Semilargo;Deportes Caninos (Agility/Pastoreo),Dueños Muy Activos,Entrenamiento de Obediencia Avanzado,Familia sin Primerizos;No;Si;Si;Si;Si;No;Border,Activa,Trabajadora,Inteligente,Enérgica,Necesidad de Estimulación;Brisa fue abandonada porque su energía desbordaba a sus dueños. Es una perra excepcionalmente inteligente que necesita un trabajo y una actividad diaria para estar mental y físicamente equilibrada.;Brisa es una perra excepcionalmente inteligente y llena de energía, con una mente brillante que necesita ser constantemente desafiada. Es ideal para dueños que disfruten de los deportes caninos como Agility o Canicross, o que puedan darle un "trabajo" mental diario. No es apta para la vida sedentaria. Su bienestar depende de que pueda canalizar su herencia de pastoreo. Es un proyecto maravilloso para una familia experimentada y activa.
FIDO;Gato;Europeo;Macho;0;2.5;Pequeño;Rojo (Ginger), Pelo Corto;Gatos Amigables,Niños (Supervisados),Juego Constante,Casa Interior;No;Si;No;No;Si;No;Cachorro,Naranja,Travieso,Juguetón,Social,Ronroneador;Fido es un cachorro rescatado de una camada callejera. Es un bebé muy juguetón y lleno de vida, con la sociabilidad típica de los gatos naranja.;Fido es un pequeño torbellino, lleno de curiosidad y ganas de jugar. Es muy sociable y se adaptará fácilmente a un hogar con otros gatos o niños, siempre que se le supervise el juego. Es un explorador nato y busca una familia que le proporcione juguetes, rascadores y mucho afecto para ayudarle a crecer y desarrollarse en un entorno seguro y de interior.
MISTY;Perro;Labrador/Golden Retriever;Hembra;7;30;Grande;Dorado (Amarillo), Pelo Semilargo;Niños de todas las edades,Otros Perros,Paseos Tranquilos,Casa Familiar;Problemas de Oído Crónicos;Si;Si;Si;Si;No;Labrador,Golden,Familiar,Sociable,Tranquila,Afectiva,Oídos Sensibles;Misty fue entregada por una familia que no podía costear el tratamiento de sus recurrentes infecciones de oído. Es una perra excepcionalmente buena y tranquila.;Misty es el epítome de la dulzura: una perra tranquila, afectiva y extremadamente sociable, ideal para familias con niños o con otras mascotas. Su único requisito de salud es la atención continua a sus Problemas de Oído Crónicos, que necesitan limpieza y medicación regular para evitar infecciones. Es una compañera de paseos tranquilos y siestas familiares que busca un dueño responsable y cariñoso que le dé el cuidado médico que necesita.
GHOST;Gato;Angora Turco;Macho;6;5.0;Mediano;Blanco Puro, Pelo Semilargo, Ojos Impares (Azul y Verde);Casa Interior Exclusiva,Cepillado Regular,Mimos,Dueños Tranquilos;Sordera (Congénita);Si;Si;Si;Si;No;Blanco,Sordo,Heterocromía,Pelo Semilargo,Tímido (Inicial),Cariñoso,Inteligente;Ghost fue rescatado de la calle. Es un gato blanco de ojos impares, una característica que a menudo se asocia con la sordera en los gatos, y efectivamente, es sordo. Es un gato muy mimoso que necesita protección.;Ghost es un gato de aspecto majestuoso y tranquilo. Debido a su Sordera Congénita, necesita un hogar estrictamente de interior para garantizar su seguridad, ya que no puede oír los peligros. Es muy cariñoso y se comunica perfectamente a través del contacto visual y los gestos, demostrando una inteligencia notable. Su precioso pelaje semilargo requiere cepillado regular. Es ideal para dueños que ofrezcan un ambiente seguro y se comprometan a manejar su condición con amor.
TITO;Perro;Pitbull;Macho;5;25;Grande;Azul (Gris), Pelo Corto;Dueños con Licencia PPP,Entrenamiento Consistente,Hogar sin Gatos,Casa sin Perros Machos;No;Si;Si;Si;Si;No;PPP,Fuerte,Cariñoso (Personas),Dominante (Perros),Leal,Juguetón;Tito fue rescatado de una situación de abandono. Es un perro atlético y muy cariñoso con la gente, pero necesita una presentación muy cuidadosa y preferiblemente un hogar sin otros perros macho o gatos.;Tito es un perro de corazón noble, atlético y extremadamente juguetón con su familia, mostrando la dulzura característica de su cruce. Requiere un dueño con Licencia PPP y experiencia en manejo de razas fuertes y dominantes con otros perros. Es esencial que su hogar sea el único perro (y sin gatos) para garantizar la armonía. Es un compañero leal y afectuoso para quien le ofrezca ejercicio, entrenamiento constante y amor.
MIMOS;Gato;Europeo (Siamés/Himalayo);Macho;9;5.8;Mediano;Point Crema, Pelo Semilargo;Mimos Constantes,Hogar Silencioso,Compañía Humana,Cepillado Semanal;Hipertiroidismo (Controlado con medicación);Si;Si;Si;Si;No;Point,Senior,Hablador,Faldero,Hipertiroidismo,Dulce,Tranquilo;Mimos fue entregado debido a problemas de salud de su dueña, quien ya no podía administrar su medicación diaria para el hipertiroidismo. Es un gato extremadamente afectuoso y "hablador".;Mimos es un gato faldero y muy "hablador", que adora la compañía humana y exige mimos con su particular voz de siamés. Padece Hipertiroidismo, una condición que está perfectamente controlada con medicación diaria y no le impide disfrutar de una vida plena. Requiere un cepillado regular y un hogar tranquilo que le dé la estabilidad y el afecto incondicional que busca. Es el compañero perfecto para quienes disfrutan de un gato comunicativo.
TORO;Perro;Rottweiler;Macho;4;45;Gigante;Negro, Fuego (Tan), Pelo Corto;Dueños con Experiencia en Razas Fuertes,Educación Continua,Jardín Grande y Seguro,Sin Animales Pequeños;No;Si;Si;Si;Si;No;Gigante,Rottweiler,Leal,Guardián,Dominante (Perros),Fuerte,Obediente (Conocidos);Toro es un perro que fue confiscado por las autoridades. Ha tenido una educación deficiente, pero con paciencia y constancia ha demostrado ser muy obediente y leal.;Toro es un perro de gran nobleza y lealtad inquebrantable hacia su familia. Requiere un líder firme, tranquilo y experimentado que continúe con su educación y refuerce las normas con afecto. Es un excelente guardián y compañero, pero debido a su fuerza y potencial dominancia, necesita un manejo constante, mucho ejercicio y un hogar donde no haya mascotas pequeñas ni otros perros con los que pueda competir por el liderazgo.
AZÚCAR;Gato;Europeo;Hembra;12;6.0;Mediano;Atigrado Gris, Pelo Corto;Mimos,Hogar sin Estrés,Dieta Específica,Medicación Diaria (Inyectable);Diabetes Mellitus (Requiere insulina);Sí;Sí;Sí;Sí;No;Senior,Diabética,Mimos,Tranquila,Rechoncha,Estable,Hogar Único;Azúcar fue entregada al refugio después de ser diagnosticada con diabetes. Es una gata muy dócil y se deja pinchar sin problemas para la insulina. Necesita un dueño responsable que mantenga su rutina.;Azúcar es una gata senior muy dócil y tranquila, que adora la calma y las siestas en lugares calentitos. Padece Diabetes Mellitus, lo que implica una dieta estricta y dos inyecciones de insulina diarias (algo que se toma con mucha calma y facilidad). Busca un hogar sin estrés y con un dueño muy comprometido y responsable con su rutina médica. A cambio, ofrece un amor incondicional y mucho ronroneo.
MAXWELL;Perro;Teckel (Dachshund);Macho;1;5;Pequeño;Negro, Atigrado (Brindle), Pelo Corto;Dueños Activos,Juegos,Entrenamiento Consistente,Sin Saltos (por espalda sensible);No;Sí;Sí;Sí;Sí;No;Teckel,Joven,Travieso,Enérgico,Cabezota,Juguetón,Alerta;Maxwell fue rescatado de una camada no deseada. Es un perro muy divertido, pero con el fuerte temperamento típico de los Teckel. Necesita educación firme y constante.;Maxwell es un perro joven, lleno de energía y con una personalidad desbordante. Exhibe la valentía y el carácter cabezota de su cruce, por lo que requiere un dueño que le proporcione entrenamiento constante y límites claros. Adora jugar, es muy curioso y siempre está listo para la aventura, aunque hay que vigilar sus movimientos para proteger su espalda, típica de los Teckel. Es un compañero alegre y leal para dueños activos.
BLIN;Gato;Persa;Macho;7;5.0;Mediano;Atigrado, Pelo Largo;Casa Interior,Cepillado Diario,Hogar Silencioso,Sin Niños Pequeños;Necesidades Oculares (Limpieza Diaria por lagrimeo);Sí;Sí;Sí;Sí;No;Senior,Tranquilo,Perezoso,Mimoso,Baja Energía,Exigente (Comida),Ocular;Blin fue entregado por su familia por falta de tiempo para su aseo y las limpiezas oculares necesarias debido a su morfología facial. Es un gato de sofá, muy tranquilo.;Blin es un gato de carácter apacible y muy mimoso, el compañero ideal para quienes buscan calma en el hogar. Es un experto en siestas y caricias en el sofá. Su pelo largo requiere cepillado diario y necesita limpieza ocular rutinaria debido a su estructura facial, lo cual es sencillo de hacer. Es un gato que adora la rutina y pide una casa interior donde el afecto y el mantenimiento sean constantes.
